"Raman Shift [cm -1]","RD1","RD2","RD3","RD4","RD5","RD6","RD7","RD8","RD9"
"862","581.037","282.532","678.703","1390.99","2276.62","1044.79","982.385","304.906","620.599"
"863","579.839","282.032","679.186","1389.02","2272.84","1042.47","980.203","303.456","618.672"
"864","579.233","281.668","679.271","1387.3","2269.06","1042.12","977.943","302.288","618.085"
"865","578.98","281.298","678.839","1384.88","2265.28","1042.34","975.508","301.453","616.391"
"866","578.932","280.477","678.179","1383.36","2261.42","1043.14","973.172","300.966","614.257"
"867","578.63","280.6","677.64","1382.76","2259.19","1043.64","971.98","300.97","612.63"
"868","575.623","280.716","675.715","1379.86","2251.92","1043.81","968.537","300.349","608.282"
"869","573.422","280.111","674.07","1375.8","2243.95","1041.89","966.427","300.342","606.049"
"870","571.329","279.572","672.38","1372.64","2235.27","1039.42","964.511","299.893","603.135"
"871","569.448","279.12","670.602","1370.39","2226.71","1036.57","963.321","301.064","599.699"
"872","567.735","278.374","669.001","1368.73","2219.21","1033.12","962.383","302.426","596.837"
"873","566.294","277.268","667.628","1367.05","2211.94","1029.63","961.869","303.495","594.895"
"874","565.109","275.905","666.486","1365.43","2205.04","1026.07","962.041","305.083","593.451"
"875","564.11","274.926","665.537","1363.58","2198.82","1022.62","962.97","306.153","591.586"
"876","563.46","274.045","664.745","1361.64","2193.29","1019.4","964.426","306.663","589.553"
"877","562.97","273.599","664.028","1359.67","2188.6","1016.58","966.435","306.557","589.659"
"878","562.75","273.94","663.42","1358.37","2186.64","1015.44","967.58","306.21","590.1"
"879","562.162","274.859","661.445","1354.32","2182.04","1012.52","969.61","303.647","591.713"
"880","561.702","275.586","659.794","1351.52","2181.33","1011.19","968.534","301.974","592.303"
"881","559.975","276.58","658.278","1348.81","2181.1","1010.29","967.449","300.66","593.148"
"882","558.8","276.786","656.772","1346.35","2180.01","1009.8","966.455","298.496","593.263"
"883","557.684","276.272","655.377","1344.77","2175.54","1009.61","965.459","296.886","592.986"
"884","557.594","275.611","654.016","1343.25","2171.24","1009.52","964.59","295.268","592.205"
"885","557.669","274.656","652.817","1341.75","2168.1","1009.67","963.696","293.665","591.532"
"886","557.587","273.784","651.648","1340.22","2166.28","1009.61","963.003","292.423","590.783"
"887","557.902","272.902","650.453","1337.16","2164.3","1009.72","962.377","291.357","590.621"
"888","558.621","272.165","649.343","1333.87","2163.28","1009.67","961.993","290.297","590.434"
"889","559.01","271.4","648.75","1333.14","2163.3","1009.47","961.88","290.27","590.57"
"890","559.563","269.83","647.418","1331.91","2165.48","1009.34","961.825","290.299","591.756"
"891","559.953","268.529","647.279","1332.42","2169.49","1011.06","962.483","290.547","593.305"
"892","560.001","267.409","647.981","1333.49","2174.08","1014.42","962.737","291.052","594.271"
"893","559.488","266.226","648.476","1335.2","2177.5","1017.45","963.711","292.322","596.056"
"894","558.736","265.257","648.958","1337.59","2181.39","1020.62","964.504","293.626","597.541"
"895","558.106","265.873","649.11","1340.11","2185.81","1023.4","965.193","294.892","599.134"
"896","557.158","267.345","649.278","1343.55","2191.09","1025.84","965.485","295.932","599.533"
"897","556.533","269.472","649.41","1347.21","2197.73","1027.89","965.264","296.628","597.148"
"898","556.315","271.946","649.462","1350.59","2205.04","1030.51","964.836","297.493","597.024"
"899","556.752","274.026","649.384","1354.12","2214.77","1032.5","963.908","298.216","599.95"
"900","558.08","276.726","649.091","1357.18","2220.62","1033.74","962.846","299.419","601.348"
"901","558.98","278.1","648.95","1358.65","2221.74","1033.82","962.26","299.58","600.75"
"902","561.896","281.368","648.406","1362.49","2222.22","1032.35","960.25","299.87","598.618"
