"Raman Shift [cm -1]","noFluo2","noFluo3","noFluo5","noFluo6","noFluo8","noFluo9","noFluo10","noFluo11","noFluo12","noFluo13","noFluo14","noFluo15","noFluo17","noFluo18","noFluo19"
"816","-7.054881233069025","-9.899784997103774","-10.888790843402363","-3.0958049241547165","3.7729619817134483","-2.971934662867575","-4.39635649962167","-17.385781665048984","-4.166728718318213","-4.280482260273649","1.2470574622599577","-5.398332914116367","1.6252606870895958","-0.052769667878844434","-6.6240037674106595"
"817","-6.5545294634923215","-9.916291665338205","-7.208533812331981","-2.112470329446471","3.567035024508759","-0.14713043887649585","-4.037557148104476","-15.55148945184419","-3.8511500808244885","-3.391369023907497","2.1622496170119074","-3.8958052835093975","1.4632606586724974","0.6481385198392844","-5.998684683708815"
"818","-5.97301579758538","-9.73786647427088","-3.5156716525452008","-1.109161993827632","3.345854804735141","2.556895018525701","-3.6292839629168334","-13.84217751122296","-3.4457010451827856","-2.481353938302963","2.902523304626119","-2.3552084900000287","1.2678383355312162","1.4189259368314011","-5.4390770572423435"
"819","-5.296229174953511","-9.378644540147723","0.1117767855532617","-0.04218702111939321","3.0769820217022","5.100972586484108","-3.2086153212892623","-12.35760568545352","-2.9488322791491006","-1.4671170206957589","3.490566340020131","-0.7969438157426847","1.024750323719693","2.1926308130921686","-4.852316715518444"
"820","-4.58423362215881","-8.897887964422116","2.9571758521355775","0.9517029179566878","2.7269410029240513","7.225017988547222","-2.9537636776393406","-11.347530915173468","-2.335223967649228","-0.5265927350254613","3.8796757414016367","0.5866830711752832","0.7091723302084734","2.926509907611611","-4.4712457544890345"
"821","-3.782222648377367","-8.218952789772665","4.697939765441472","1.9005589290441787","2.3228121675360796","9.135349863147855","-2.722567350645825","-10.599628010145434","-1.5777108366145194","0.2685134866511626","4.1375880686063145","1.8366762235227068","0.3981171339594255","3.495548073645096","-3.902876306695533"
"822","-2.8833522884085925","-7.346167453706698","4.24811232275048","2.787192962055043","1.8697603351294698","10.495918170235917","-2.4495618272284325","-10.127425878943315","-0.6971493990402504","0.905917901487856","4.30720966481906","2.8933308647100437","0.1389654072416759","3.875556423017144","-3.001207932601571"
"823","-1.8908170442275782","-6.336747763899406","2.561292505068904","3.5633863138547945","1.3050414886856219","11.276877138985935","-2.1381621776412043","-9.931530715159324","0.2610344124822276","1.2966813547238596","4.426307478004374","3.6782030511330714","-0.024950902664964497","4.174892326173873","-1.6312797945350084"
"824","-0.7712255366862983","-5.147882694792092","0.36442578230316514","4.286670111624795","0.7348406486246818","11.547840920809115","-1.6430246009980713","-9.994103289895605","1.2700879513975871","1.2542564297686714","4.564685486200913","4.2208124746166735","-0.12419398403814914","4.332265789047364","0.30871146888776657"
"825","0.42087389109585804","-3.864059411243615","-0.7619504752869463","5.0261910136143015","0.17583554395540935","11.473968807589007","-0.9503735746660538","-9.882924650044568","2.4312043212734302","1.0767894775108324","4.770529431996954","4.484105264854295","-0.1492103055799739","4.342687085958286","2.84466584901317"
"826","1.680119937491452","-2.4198682921791783","-1.1234519238006824","5.791675653855206","-0.44041594845929644","11.129910933008018","-0.07240823070834235","-9.444267613683614","3.7113863374705134","1.0652307615687204","5.108656098066413","4.521137468177658","-0.08478530234716791","4.196591977059893","5.83983407340205"
"827","2.971603077139355","-0.7874709494091672","-1.13518637530732","6.579117212481592","-1.0604095240561895","10.607717645367112","1.0141069198419355","-8.636191453862939","5.022591261760748","1.3047425745602415","5.624008573043532","4.380985386232014","0.08240531996137412","3.893061611772225","9.272873644448604"
"828","4.280202179772915","0.9443574540341544","-0.46639534291309936","7.373940440153127","-1.5129396683143155","9.953603952877664","2.351861311024151","-7.457455906068751","6.316642106994021","1.582251122482721","6.248586686480711","4.084869634456162","0.3737673725048587","3.4374308380133676","13.149719370752567"
"829","5.517467409247839","2.5387362237227324","0.9535749455681424","8.269692672817687","-1.7993674831868351","9.296929814354526","3.843561220864943","-6.075938557342187","7.462418168816666","1.7898376361488924","6.889062661196597","3.7621025822028162","0.7620965891574233","2.8482424051504425","17.19847032361252"
"830","6.645245731261569","3.954841646415032","3.2117933552055","9.189129822319792","-1.924511701942058","8.719281299479324","5.48873556884574","-4.4355797716030265","8.469016765119596","1.936525424652224","7.422809326010479","3.4824174353764787","1.2196748584528991","2.161959621057425","21.275677759702297"
"831","7.571020817207919","5.095959744186645","5.895911960716855","10.04320362304792","-1.764546853764847","8.268432908485376","7.197506157817919","-2.5839768903659723","9.29475845374906","2.0797788128897734","7.777905913019812","3.271142729694152","1.6820740883793797","1.4434057724570675","25.226953816694948"
